Name,Address,Neighborhood,Nearest Airport,Size,Room Style,Vibe,Icon Tags,Description,Insider Tip,Virtuoso Traveler Receives,At the Hotel,Reviews
Fairmont Austin,"101 Red River St, Austin, Texas, United States",Downtown,Austin-bergstrom International (AUS) - 6 mi/10 km,1048 rooms,Contemporary,Sophisticated,"City Life, Local Immersion, Landmarks","Austin is eternally appealing, and where better to experience its engaging music and artistic scenes than from the new Fairmont Austin – a resort-style retreat in the midst of the Central Business District. Take a dip in the zero-entry seasonally heated pool. Duck into the salon and spa for some pampering. Or, lounge the day away in your upscale Fairmont Gold suite with elevated amenities and sweeping Austin skyline views. Before heading out to a show, dine in one of the hotel’s five restaurants or bars, including a globally influenced food hall, Revue, and an esteemed grill house, Garrison, with steak, seafood, and great wine.","Don’t miss Fulton, the lobby bar with such tempting libations as Aviation and Vespers, or even a butternut-squash-infused whiskey.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast for up to two guests per bedroom, served at Revue ($30 per person)
- $100USD equivalent Resort  or Hotel credit utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Conference Facilities
- Connecting Rooms
- Culinary Program
- Internet Access
- Lounge/Bar
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Jacuzzi/Whirlpool
- Pool
- Sauna
- Spa
Services
- Concierge Desk
- Room Service
- Room Service 24-hours
- Salon
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
",{}
Fairmont Century Plaza,"2025 Avenue of the Stars, Los Angeles, California, United States","Century City, Los Angeles",Los Angeles International Airport (LAX) - 7 mi/11 km,400 rooms,Contemporary,Sophisticated,"Wellness, City Life, Landmarks","Perfectly poised on the Avenue of the Stars, Fairmont Century Plaza rolls out the red carpet for guests looking to live like a celebrity for a few nights. The 400-key hotel boasts every amenity an A-lister could want: a luxurious 14,000sq.ft. spa featuring a salt room, hammam, and experiential showers; heated rooftop pool; open-air Bar, and the French inspired Lumière Restaurant, with its jewel-toned accents and menu of local, seasonally sourced ingredients.","Ask Nathaniel Munoz, our Beverage Director and mastermind behind the hotel’s one-of-a-kind beverage program, for a post-shopping-spree cocktail recommendation (Rodeo Drive is a mere six minutes away).","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Breakfast for two guests per bedroom
- $100 USD equivalent Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Children's Programs
- Club Floor
- Conference Facilities
- Connecting Rooms
- Internet Access
- Lounge/Bar
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Fitness Center
- Pool
- Sauna
- Spa
Services
- Babysitting Services
- Car Rental Desk
- Concierge Desk
- Housekeeping -- Twice Daily
- Laundry/Dry Cleaning/Pressing
- Limousine Service
- Room Service
- Room Service 24-hours
- Salon
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
",{}
Fairmont Copley Plaza,"138 St James Avenue, Boston, Massachusetts, United States",Back Bay,Logan International (BOS) - 4 mi/6 km,383 rooms,Classic,Sophisticated,"Landmarks, City Life, Local Immersion","Centrally located in Boston's historic Back Bay, Fairmont Copley Plaza sits steps away from the Boston Public Library, historic Beacon Hill, the Freedom Trail, and Newbury Street. This Boston hotel offers 383 lavish guest rooms, including 17 elegant suites, and the Fairmont Gold level, complete with a private lounge and special amenities for guests. Fairmont Copley Plaza provides a complimentary rooftop health club overlooking Back Bay and is home to one of the hottest drinking and dining destinations in the city, OAK Long Bar + Kitchen.","Spend time exploring the memorabilia around this landmark hotel. You can still see the tracks on the floor of a carousel that used to be in the bar.
–Suzette Mack
San Jose, California","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast for up to two guests per bedroom, served in restaurant
- $100 USD Resort or Hotel credit to be utilized during stay (not combinable, not applicable towards room rate, no cash value if not redeemed in full.
- Early check-in / Late check-out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Club Floor
- Conference Facilities
- Connecting Rooms
- Internet Access
- Lounge/Bar
- Pet Friendly
- Restaurant
- Shopping
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Hair Dryer
- Iron/Ironing Board
- Safe
Recreation
- Fitness Center
Services
- Babysitting Services
- Concierge Desk
- Hearing Impaired Services
- House Safe
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Valet Parking
- Wakeup Calls
- Wedding Services
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '26 Oct 2023', 'headline': '“Perfect Everything”', 'reviewer_name': 'By: Mary', 'review_content': 'We had an amazing time at The Fairmont Copley Plaza.\nBeth Dwyer booked us a perfect 3 day stay with some great perks.\nI would definitely stay there again and use Beth to book my future trips'}, {'recommended': True, 'review_date': '17 Jul 2023', 'headline': 'Great Location and Fantastic Atmophere', 'reviewer_name': 'By: Tracy Dickinson', 'review_content': 'Fairmont Copley service and accommodations were very special.  It has a beautiful environment - bar and rooms.  Great location!!!'}, {'recommended': True, 'review_date': '09 Jul 2023', 'headline': 'Hotel review', 'reviewer_name': 'By: Debi', 'review_content': 'Very good. Good bar food at restaurant.'}, {'recommended': True, 'review_date': '01 Jul 2023', 'headline': 'Boston Fairmont Copely Plaza stay', 'reviewer_name': 'By: Hayden j', 'review_content': 'Great pick for a hotel and nice upgrade and amenities by booking through Stefani   She always gets us such nice upgrades'}]}"
Fairmont Doha,"Sixth Street, Marina District, Lisail City, Doha, Qatar",,Doha Airport (DOH) - 8 mi/13 km,362 rooms,Contemporary,Sophisticated,"Wellness, Local Immersion, Landmarks","As one of two prestigious hotels located in the city’s symbolic Katara Towers, Fairmont Doha delivers luxury at every turn. In addition to Fairmont’s 362 rooms and suites, elegantly appointed with all the high-end comforts of home, you’ll be treated to shared amenities including a private cigar bar and lounge, Michelin-worthy cuisine, VIP movie theaters, specialty boutiques, and an exclusive floating island in the middle of the Arabian Gulf.","Fairmont Doha is a destination in itself offering Fairmont Fit. 
Stretch up! Day in the life on set with our fitter planet Les Mills and a partnership with Harry Jamieson, Pillar fitness concept.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast for up to two guests per bedroom
- $100USD equivalent in local currency Resort or Hotel credit utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Children's Programs
- Club Floor
- Complimentary Parking
- Conference Facilities
- Connecting Rooms
- Culinary Program
- Internet Access
- Library
- Lounge/Bar
- Michelin Star Restaurant
- Multi-lingual Staff
- Parking
- Restaurant
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Jacuzzi/Whirlpool
- Pool
- Sauna
- Spa
Services
- Babysitting Services
- Concierge Desk
- Currency Exchange
- House Safe
- Housekeeping -- Twice Daily
- Laundry/Dry Cleaning/Pressing
- Limousine Service
- Room Service
- Room Service 24-hours
- Salon
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
",{}
Fairmont El San Juan Hotel,"6063 Isla Verde Avenue, Carolina, Puerto Rico",,,,,,"Wellness, City Life, Beach","Between downtown San Juan and the award-winning Isla Verde Beach lies Fairmont El San Juan Hotel, a mecca of sophistication, style, and sleek ocean-view accommodations. Start your day with an energizing elixir at the juice bar or a merengue class on the sand. Relax poolside in your butler-serviced cabana. Indulge in spa treatments such as salt stone massages and après sun rituals. And check out the seven distinct dining venues serving local favorites like Mofongo and Braised Beef Short Ribs.",,,,{}
Fairmont Empress,"721 Government Street, Victoria, British Columbia, Canada",,Victoria International (YYJ) - 16 mi/26 km,431 rooms,Classic,Sophisticated,"Adventure, Landmarks, Local Immersion","Royalty and celebrities have enjoyed the remarkable ambience of Fairmont Empress since its opening in 1908. Experience the regal history in one of the hotel's guest rooms or suites, newly restored and elegantly appointed, offering panoramic views of Victoria or the Inner Harbour. Choose Fairmont Gold, where you will gain access to a private lounge and concierge team, and enjoy complimentary breakfast, evening hors d'oeuvres, and honor-bar service. There are also two excellent restaurants: Q at the Empress and the completely restored Lobby Lounge – home of the world-famous Tea at the Empress.","Afternoon Tea, a Fairmont Empress tradition for more than a century, is a must! Savor scones and the resort’s secret blend of tea in the majestic Lobby Lounge.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Full Breakfast for up to two guests per bedroom
- $100 USD equivalent Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Club Floor
- Conference Facilities
- Internet Access
- Lounge/Bar
- Parking
- Pet Friendly
- Restaurant
- Shopping
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Safe
- Slippers
Recreation
- Fitness Center
- Jacuzzi/Whirlpool
- Pool
- Sauna
- Spa
Services
- Concierge Desk
- House Safe
- Laundry/Dry Cleaning/Pressing
- Turndown Service
- Wakeup Calls
","{'recommended_percentage': '95', 'reviews': [{'recommended': True, 'review_date': '27 Sep 2023', 'headline': 'Empress Hotel', 'reviewer_name': 'By: Robert E', 'review_content': 'The Gold Floor upgrades and improvements are spectacular and offer excellent value.'}, {'recommended': True, 'review_date': '03 Sep 2023', 'headline': 'Great hotel  for a vacation', 'reviewer_name': 'By: Mike', 'review_content': 'Great location, fabulous breakfast and nice rooms.'}, {'recommended': True, 'review_date': '14 Dec 2022', 'headline': 'City break', 'reviewer_name': 'By: Mel&Pat', 'review_content': 'Fantastic. The service, the location and the Virtuoso perks were all top notch.'}, {'recommended': True, 'review_date': '17 Oct 2022', 'headline': 'Fairmont Empress', 'reviewer_name': 'By: Tom', 'review_content': 'Fairmont Empress is a wonderful old style hotel which has maintained its elegance for over a century. It has the best location in Victoria and its staff members are friendly and very helpful. We would go back in a minute!'}]}"
Fairmont Grand Del Mar,"5300 Grand Del Mar Court, San Diego, California, United States",,,,,,"Golf, Local Immersion, Wellness","Magic is our Nature...And in our people... San Diego's luxury Fairmont Grand Del Mar golf resort and spa welcomes guests to Southern California with signature charm and impeccable service. Magnificently situated on 400-acres in a pristine coastal canyon five miles from the Pacific Ocean, Fairmont Grand Del Mar shines.
Vacation at this AAA Five Diamond luxury San Diego resort featuring the private Tom Fazio designed golf course, a Five-Star spa, four sparkling pools, tennis courts, yoga and fitness classes, nightlife and exquisite dining epitomized by Addison, San Diego’s first Michelin-Three Star restaurant.
San Diego, CA",,,,{}
Fairmont Heritage Place Mayakoba,"Carretera Federal Canc&#xFA;n Km 298, Quintana Roo, Playa del Carmen, Mexico",,Cozumel (CZM) - 12 mi/19 km,18 rooms,Contemporary,Zen,"Golf, Beach, Seclusion","Soak in the sun, sand, and secluded vibe of Mayakoba at Fairmont Heritage Place – a 401-room-and-suite resort with all the makings for a dreamy getaway. Enjoy everything from accommodations with private plunge pools and 24-hour concierge service to sea-to-table cuisine, Mayan-inspired spa treatments, and a Greg-Norman-designed golf course that winds through three distinct ecosystems. There’s even a kids’ club for children aged 5 to 11. Perfect for when you need your own time out.","Unwind with an anti-oxidant-rich Chocolate, Food of the Gods body wrap or a relaxing Cha Chac Rain Ritual.","Virtuoso travelers receive:

- Upgrade not applicable (all villa property)
- Daily breakfast for up to two guests per bedroom
- $150 USD equivalent Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early check-in / Late check-out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Complimentary Parking
- Conference Facilities
- Internet Access
- Meal Plans Available
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Villas
In Your Room
- Bathrobes
- Butler Service
- Complimentary Coffee/Tea
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Golf
- Pool
- Sauna
- Spa
- Tennis Courts
- Water Sports
Services
- Babysitting Services
- Car Rental Desk
- Concierge Desk
- Currency Exchange
- House Safe
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Salon
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
",{}
Fairmont Hotel Vier Jahreszeiten Hamburg,"Neuer Jungfernstieg 9-14, Hamburg, Germany",,,,,,"Local Immersion, Landmarks, City Life","Fairmont Hotel Vier Jahreszeiten is the epitome of European grandeur. Awarded as the best city hotel in Europe as well as the best hotel in Germany, the elegant hotel by the Inner Alster lake has provided guests from all over the world with charming luxury and timeless elegance in the heart of the Hanseatic city since 1897. The 156 luxuriously furnished guest rooms and suites set international standards and combine history with cosmopolitan lifestyle. The culinary variety is impressive, ranging from the two-Michelin-starred Restaurant Haerlin to Hamburg’s number-one hot spot, NIKKEI NINE, offering Japanese-Peruvian cuisine.",,,,{}
Fairmont Jasper Park Lodge,"Old Lodge Road, PO Box 40, Jasper, Alberta, Canada",,,,,,"Seclusion, Ecotourism, Adventure","Tucked within a UNESCO World Heritage site and celebrated for its rustic elegance, Fairmont Jasper Park Lodge provides a majestic Rocky Mountain stay. Discover your own little scenic village of heritage cabins, with wildlife right outside the door of your homey guest room. Every green and tee on the spectacular golf course aligns with a mountain peak – just one reason the course ranks as Canada’s best. Go hiking, fishing, horseback riding – even explore the Columbia Icefield; winter months bring every snowy pleasure imaginable. The 10,000-square-foot spa induces serenity, no matter what the season.",,,,{}
Fairmont Kea Lani Maui,"4100 Wailea Alanui, Wailea, Hawaii, United States",,,,,,"Adventure, Beach, Local Immersion","IMAGINE an island oasis where blue skies, golden-sand beaches, and an abundance of tropical blooms create a lush, vibrant retreat. EXPERIENCE the luxury vacation of your dreams when you check in to either an expansive One-Bedroom Suite (featuring separate living and bedroom with a wraparound lanai) or a private two-story Villa (featuring personal plunge pool and residential amenities). ENJOY access to five restaurants and a market; three swimming pools, including an adults-only tranquility pool; a comprehensive spa and wellness program; authentic Hawaiian cultural activities; and unrivaled access to the best adventures across the island.",,,,{}
Fairmont Le Château Frontenac,"1 Rue des Carrieres, Qu&#xE9;bec City, Quebec, Canada",,Québec (YQB) - 9 mi/14 km,611 rooms,Contemporary,Sophisticated,"Landmarks, City Life, Local Immersion","Fairmont Le Château Frontenac is the unrivaled symbol of Quebec City since 1893. Perch high on the cliff, it is said to be the most photographed hotel in the world. This impressive Renaissance-style château has been recognized as a UNESCO World Heritage treasure for its role in Canada's history. The towers and turrets of the hotel provide spectacular views of the St. Lawrence River and of the architecture of Old Quebec. The hotel has undergone numerous renovations and now is totally restored. Its a combination of ultimate comfort in 610 guest rooms and suites, three restaurants, and Moment Spa where history meets luxury.","The history of the hotel includes famous guests such as Céline Dion and Alfred Hitchcock. Experience the Heritage Suites, one of the best ways to bring Quebec's fascinating history to life.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily Breakfast for up to two guests per bedroom
- $100 USD equivalent Food & Beverage credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Club Floor
- Conference Facilities
- Connecting Rooms
- Internet Access
- Lounge/Bar
- Multi-lingual Staff
- Pet Friendly
- Restaurant
- Shopping
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
Recreation
- Bicycle Rental
- Fitness Center
- Jacuzzi/Whirlpool
- Pool
- Skiing
- Spa
Services
- Babysitting Services
- Concierge Desk
- Currency Exchange
- Hearing Impaired Services
- House Safe
- Laundry/Dry Cleaning/Pressing
- Room Service
- Salon
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
- Wedding Services
","{'recommended_percentage': '98', 'reviews': [{'recommended': True, 'review_date': '09 Nov 2023', 'headline': '5 star service, 4.5 hotel', 'reviewer_name': 'By: Debbie', 'review_content': ""The service is above and beyond at this hotel. They treat every request quickly and efficiently. The hotel is beautiful and all the staff are wonderful. A few things were a little disappointing. We were celebrating our 25th wedding anniversary which was listed on the reservation confirmation. They did not acknowledge it. The heater in our room was extremely noisy - it sounded like a bus was outside out window each time it turned on and off. I know this sounds picky but the bathroom had no hooks, even on the door so there was no place to hang anything - I had to lay my clothes on the toilet tank when I took a shower. The bathroom also didn't have a separate heater and considering it was all marble, it was very cold. On the plus side, the food at the hotel was wonderful and again, their service above reproach""}, {'recommended': True, 'review_date': '23 Oct 2023', 'headline': 'Classic Elegance', 'reviewer_name': 'By: Happy', 'review_content': 'What a spectacular property! So glad we booked with our Virtuoso travel agent, Jessica Causer! The bonus percs of daily breakfast and $100 food and beverage credit were great! Loved the included tours offered by Fairmont. Old Quebec City is beyond charming! We took the offered upgrade to Fairmont Gold and had a corner river view room on the 11th floor. Truly a once in a lifetime splurge and well worth it!'}, {'recommended': True, 'review_date': '01 Oct 2023', 'headline': 'Beauty', 'reviewer_name': 'By: Tony', 'review_content': 'A very historic hotel. It was fascinating to just look at the architecture. Food was also very good   And staff very friendly'}, {'recommended': False, 'review_date': '04 Sep 2023', 'headline': 'Frontenac disappointment', 'reviewer_name': 'By: anna', 'review_content': 'We were very disappointed.  For the price we paid for the hotel, the rooms were old and worn down.  The service was terrible - to the point that we ran out of toilet paper (no extra paper was left anywhere in the room) and were told it would take 30 minutes for someone to bring it up.   The hotel was very large and too busy for the number of staff.  Food at the Elea lounge was terrible.  The pool was over used and not cleaned enough.  The only thing I can compliment is the breakfast.'}]}"
Fairmont Le Montreux Palace,"Avenue Claude Nobs 2, Montreux, Switzerland",,,,,,"City Life, Landmarks, Wellness","Surrounded by the soaring Alps and nestled along the shores of sparkling Lake Geneva, Fairmont Le Montreux Palace hotel has delighted visitors for over a century with its landmark Belle Époque architecture.

The world-famous Montreux Jazz Festival is next door (first two weeks of July), while a festive stroll along the lakefront takes you to Montreux Christmas Market.",,,,{}
Fairmont Mara Safari Club,"Masai Mara National Reserve, Maasai Mara, Kenya",,,,,,"Local Immersion, Ecotourism, Adventure","Rustic adventure doesn’t get any more glamorous than at the Fairmont Mara Safari Club. Set along the banks of the hippo-favored Mara River in the heart of Africa’s most cherished wildlife reserve, its 51 tents feature four-poster beds and expansive decks; a number have outdoor showers. In addition to taking daily game drives, guests can join walking safaris, visit a local Maasai community, go birding, ride BMW bikes, or swim in the pool. Definitely plan a hot-air balloon ride over the Mara plains. Evenings can be spent over African feasts served in the bush or in a traditional boma, complete with dancing and music.",,,,{}
Fairmont Miramar Hotel & Bungalows,"101 Wilshire Boulevard, Santa Monica, California, United States",,,,,,"City Life, Beach, Landmarks","Situated atop scenic bluffs overlooking the Pacific Ocean, the Fairmont Miramar Hotel & Bungalows is Santa Monica’s premier address for locals and world travelers alike. Lush gardens, breathtaking views, and Southern California style await guests of the hotel. Experience the very best of this urban resort with surf-modern bungalows by Michael Berman; seasonally inspired FIG Restaurant, featuring wood-fired fare; nightlife at The Bungalow; and fitness by Exhale. Located just steps from the beach, Santa Monica Pier, and Third Street Promenade, Fairmont Miramar Hotel & Bungalows is the ideal seaside escape.",,,,{}
Fairmont Mount Kenya Safari Club,"PO Box 35, Mount Kenya, Nanyuki, Kenya",,Nanyuki (NYK) - 10 mi/16 km,100 rooms,Classic,Zen,"Seclusion, Adventure, Landmarks","Setting the standard for luxury among Nanyuki hotels, Fairmont Mount Kenya Safari Club promises guests the grandeur of 1950s colonial architecture augmented by a timelessly elegant country club atmosphere. Expect polished parquet floors and creamy linens, open fireplaces and opulent five-piece marble bathrooms. Suites offer an elevated experience, with a generous separate living area and, in many cases, breathtaking views of Mount Kenya. Some include private terraces that double as the perfect spot for idyllic afternoon sundowners.","Book a William Holden Cottage, which offers private verandas and gardens along with outstanding views of Mount Kenya.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast for up to two guests per bedroom
- $100 USD equivalent in local currency Food & Beverage credit to be utilized during stay (not combinable, no cash value if not redeemed in full)
- A complimentary 50-minute massage for up to two people, once during stay
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Banquet Facilities
- Business Center
- Children's Programs
- Complimentary Parking
- Conference Facilities
- Connecting Rooms
- Culinary Program
- Internet Access
- Library
- Lounge/Bar
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Villas
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Golf
- Horseback Riding
- Pool
- Spa
- Tennis Courts
Services
- Babysitting Services
- Room Service 24-hours
- Wedding Services
",{}
"Fairmont Orchid, Hawaii","One North Kaniku Drive, Kohala Coast, Hawaii, United States",,,,,,"Adventure, Beach, Wellness","Some of your toughest decisions at Fairmont Orchid, Hawai‘i will center around green sea turtles and oceanfront cabanas. What to do first – meet the native sea creatures as they bask on the beach, or indulge in a massage in a thatched-roof hale? Make time for it all: Visit the pool deck on Friday evenings for stargazing with a local astronomer, paddle the waters in an outrigger canoe, hike through a petroglyph field, or lounge on a sugar-sand beach. In the evening, listen to local musicians as the sun sets while you dine at the award-winning Brown's Beach House, located steps from the shore and serving locally grown specialties.",,,,{}
Fairmont Pacific Rim,"1038 Canada Place, Vancouver, British Columbia, Canada",,Vancouver Intl (YVR) - 7 mi/11 km,367 rooms,Contemporary,Sophisticated,"Local Immersion, Ski, City Life","On the waterfront in the heart of Vancouver, Fairmont Pacific Rim offers expansive views of the North Shore Mountains, Stanley Park, and Coal Harbour. Each of the 367 guest rooms is exceptional, but stay on the Fairmont Gold floor for its exclusive lounge, personalized service, and evening canapés. Delight in the offerings of Willow Stream Spa, discover Vancouver on concierge-crafted itineraries, or settle into a cabana around the rooftop pool. For dining, enjoy one of two distinct destinations: The Lobby Lounge and RawBar, featuring live nightly music; or Botanist, Vancouver’s hottest fine dining restaurant.","SIP & SAVOR: Dine on sustainably sourced seafood, locally grown organic produce and sip on MICHELIN award-winning cocktails at Botanist for a true taste of the Pacific Northwest.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast for up to two guests per bedroom, served in Botanist Restaurant
- $100USD equivalent Resort  or Hotel credit utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Club Floor
- Conference Facilities
- Connecting Rooms
- Internet Access
- Library
- Lounge/Bar
- Meal Plans Available
- Michelin Star Restaurant
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Wheelchair Accessible
In Your Room
- Bathrobes
- Butler Service
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Jacuzzi/Whirlpool
- Pool
- Spa
Services
- Babysitting Services
- Concierge Desk
- House Safe
- Housekeeping -- Twice Daily
- Laundry/Dry Cleaning/Pressing
- Limousine Service
- Room Service
- Room Service 24-hours
- Shoeshine Service
- Turndown Service
- Valet Parking
- Wakeup Calls
","{'recommended_percentage': '98', 'reviews': [{'recommended': True, 'review_date': '23 Sep 2023', 'headline': 'Beautiful', 'reviewer_name': 'By: Anika', 'review_content': 'The Fairmont Pacific Rim was absolutely wonderful! The staff was very friendly and helpful and the hotel just smells incredible! Our corner suite had a beautiful view of the water and Canada place and was just lovely. My agent Anjuli Bhatia made sure to tell them about my food allergies and preferences ahead of time and the hotel made sure that my amenities were structured to take those into consideration. Will absolutely stay here again!'}, {'recommended': True, 'review_date': '04 Jul 2023', 'headline': 'Best Hotel Experience Ever', 'reviewer_name': 'By: Vancouver-Bound', 'review_content': 'Phenomenal hotel...great location on the water, well-equipped rooms and unbelievable service from the entire staff.  Add in a good promotional rate (buy 3 nights, get the the 4th free) and we would never stay anywhere else in Vancouver.'}, {'recommended': True, 'review_date': '08 Jun 2023', 'headline': 'Sublime Comfort', 'reviewer_name': 'By: alant', 'review_content': ""This hotel captures the energy of Vancouver in its lobby, but is supremely quiet and cosseting in its rooms. Service is top notch, as is the food. Excellent location. Will be staying here whenever I'm in Vancouver.""}, {'recommended': True, 'review_date': '23 Feb 2023', 'headline': 'Happening spot at the waterfront', 'reviewer_name': 'By: jacquiam@mac.com', 'review_content': 'The hotel has a buzz from the time you walk in the door. We had a beautiful corner room with a view of the waterfront. The breakfast at the restaurant is one of the best I have had. Great location walkable to shopping/restaurant districts within Vancouver. Would definitely stay again.'}]}"
